,,,-115.4000089E-3,1.5799999,,,,,-115.4000089E-3,839.999973774E-3,,,,,-115.4000089E-3,839.999973774E-3,
,,,-115.2000129E-3,1.5799999,,,,,-115.2000129E-3,819.999992847E-3,,,,,-115.2000129E-3,859.999954700E-3,
,,,-115.0000095E-3,1.5799999,,,,,-115.0000095E-3,839.999973774E-3,,,,,-115.0000095E-3,839.999973774E-3,
,,,-114.8000136E-3,1.5799999,,,,,-114.8000136E-3,819.999992847E-3,,,,,-114.8000136E-3,839.999973774E-3,
,,,-114.6000102E-3,1.5799999,,,,,-114.6000102E-3,819.999992847E-3,,,,,-114.6000102E-3,839.999973774E-3,
,,,-114.4000068E-3,1.5799999,,,,,-114.4000068E-3,839.999973774E-3,,,,,-114.4000068E-3,859.999954700E-3,
,,,-114.2000109E-3,1.5799999,,,,,-114.2000109E-3,819.999992847E-3,,,,,-114.2000109E-3,859.999954700E-3,
,,,-114.0000075E-3,1.5799999,,,,,-114.0000075E-3,819.999992847E-3,,,,,-114.0000075E-3,859.999954700E-3,
,,,-113.8000116E-3,1.5799999,,,,,-113.8000116E-3,799.999952316E-3,,,,,-113.8000116E-3,859.999954700E-3,
,,,-113.6000082E-3,1.5799999,,,,,-113.6000082E-3,819.999992847E-3,,,,,-113.6000082E-3,839.999973774E-3,
,,,-113.4000123E-3,1.5999999,,,,,-113.4000123E-3,819.999992847E-3,,,,,-113.4000123E-3,839.999973774E-3,
,,,-113.2000089E-3,1.5799999,,,,,-113.2000089E-3,799.999952316E-3,,,,,-113.2000089E-3,839.999973774E-3,
,,,-113.0000129E-3,1.5999999,,,,,-113.0000129E-3,819.999992847E-3,,,,,-113.0000129E-3,839.999973774E-3,
,,,-112.8000095E-3,1.5799999,,,,,-112.8000095E-3,819.999992847E-3,,,,,-112.8000095E-3,839.999973774E-3,
,,,-112.6000136E-3,1.5799999,,,,,-112.6000136E-3,839.999973774E-3,,,,,-112.6000136E-3,839.999973774E-3,
,,,-112.4000102E-3,1.5999999,,,,,-112.4000102E-3,839.999973774E-3,,,,,-112.4000102E-3,839.999973774E-3,
,,,-112.2000143E-3,1.5799999,,,,,-112.2000143E-3,839.999973774E-3,,,,,-112.2000143E-3,839.999973774E-3,
,,,-112.0000109E-3,1.5999999,,,,,-112.0000109E-3,819.999992847E-3,,,,,-112.0000109E-3,859.999954700E-3,
,,,-111.8000075E-3,1.5799999,,,,,-111.8000075E-3,819.999992847E-3,,,,,-111.8000075E-3,839.999973774E-3,
,,,-111.6000116E-3,1.5999999,,,,,-111.6000116E-3,819.999992847E-3,,,,,-111.6000116E-3,839.999973774E-3,
,,,-111.4000082E-3,1.5999999,,,,,-111.4000082E-3,819.999992847E-3,,,,,-111.4000082E-3,839.999973774E-3,
,,,-111.2000123E-3,1.5799999,,,,,-111.2000123E-3,819.999992847E-3,,,,,-111.2000123E-3,839.999973774E-3,
,,,-111.0000089E-3,1.5799999,,,,,-111.0000089E-3,819.999992847E-3,,,,,-111.0000089E-3,859.999954700E-3,
,,,-110.8000129E-3,1.5799999,,,,,-110.8000129E-3,839.999973774E-3,,,,,-110.8000129E-3,839.999973774E-3,
,,,-110.6000096E-3,1.5799999,,,,,-110.6000096E-3,819.999992847E-3,,,,,-110.6000096E-3,859.999954700E-3,
,,,-110.4000136E-3,1.5799999,,,,,-110.4000136E-3,839.999973774E-3,,,,,-110.4000136E-3,839.999973774E-3,
,,,-110.2000102E-3,1.5999999,,,,,-110.2000102E-3,839.999973774E-3,,,,,-110.2000102E-3,839.999973774E-3,
,,,-110.0000143E-3,1.5799999,,,,,-110.0000143E-3,839.999973774E-3,,,,,-110.0000143E-3,839.999973774E-3,
,,,-109.8000109E-3,1.5799999,,,,,-109.8000109E-3,839.999973774E-3,,,,,-109.8000109E-3,839.999973774E-3,
,,,-109.6000075E-3,1.5799999,,,,,-109.6000075E-3,819.999992847E-3,,,,,-109.6000075E-3,839.999973774E-3,
,,,-109.4000116E-3,1.5799999,,,,,-109.4000116E-3,839.999973774E-3,,,,,-109.4000116E-3,839.999973774E-3,
,,,-109.2000082E-3,1.5799999,,,,,-109.2000082E-3,819.999992847E-3,,,,,-109.2000082E-3,839.999973774E-3,
,,,-109.0000123E-3,1.5799999,,,,,-109.0000123E-3,819.999992847E-3,,,,,-109.0000123E-3,859.999954700E-3,
,,,-108.8000089E-3,1.5999999,,,,,-108.8000089E-3,819.999992847E-3,,,,,-108.8000089E-3,839.999973774E-3,
,,,-108.6000130E-3,1.5999999,,,,,-108.6000130E-3,819.999992847E-3,,,,,-108.6000130E-3,839.999973774E-3,
,,,-108.4000096E-3,1.5999999,,,,,-108.4000096E-3,819.999992847E-3,,,,,-108.4000096E-3,839.999973774E-3,
,,,-108.2000136E-3,1.5799999,,,,,-108.2000136E-3,819.999992847E-3,,,,,-108.2000136E-3,819.999992847E-3,
,,,-108.0000103E-3,1.5999999,,,,,-108.0000103E-3,819.999992847E-3,,,,,-108.0000103E-3,839.999973774E-3,
,,,-107.8000143E-3,1.5799999,,,,,-107.8000143E-3,839.999973774E-3,,,,,-107.8000143E-3,859.999954700E-3,
,,,-107.6000109E-3,1.5799999,,,,,-107.6000109E-3,839.999973774E-3,,,,,-107.6000109E-3,839.999973774E-3,
,,,-107.4000075E-3,1.5799999,,,,,-107.4000075E-3,819.999992847E-3,,,,,-107.4000075E-3,839.999973774E-3,
,,,-107.2000116E-3,1.5999999,,,,,-107.2000116E-3,839.999973774E-3,,,,,-107.2000116E-3,839.999973774E-3,
,,,-107.0000082E-3,1.5799999,,,,,-107.0000082E-3,819.999992847E-3,,,,,-107.0000082E-3,859.999954700E-3,
,,,-106.8000123E-3,1.5999999,,,,,-106.8000123E-3,819.999992847E-3,,,,,-106.8000123E-3,859.999954700E-3,
,,,-106.6000089E-3,1.5799999,,,,,-106.6000089E-3,799.999952316E-3,,,,,-106.6000089E-3,819.999992847E-3,
,,,-106.4000130E-3,1.5799999,,,,,-106.4000130E-3,839.999973774E-3,,,,,-106.4000130E-3,839.999973774E-3,
